Gene_id	Symbol	Gene_type	Sample_R01	Sample_R02	Sample_R03	Sample_R04	Sample_R05	Sample_R06	Sample_R07	Sample_R08	Sample_R09	Sample_R10	Sample_R11	Sample_R12	Sample_R13	Sample_R14
ENSMUSG00000020542	Myocd	protein_coding	8	9	9	5	1	2	0	1	1	0	0	1	2	2
ENSMUSG00000020544	Cox11	protein_coding	257	265	182	184	176	182	241	213	251	258	213	213	216	196
ENSMUSG00000020545	Lrrc72	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020546	Stxbp4	protein_coding	854	875	674	753	846	1176	669	556	435	486	789	687	695	897
ENSMUSG00000020547	Bzw2	protein_coding	4302	4162	1942	2276	1789	1919	2012	1840	1907	1785	4881	4817	2510	2430
ENSMUSG00000020548	1700086D15Rik	protein_coding	0	1	0	0	1	0	0	0	1	0	0	0	0	0
ENSMUSG00000020549	Elac2	protein_coding	1620	1544	759	794	679	980	879	700	1059	1116	1049	1010	781	821
ENSMUSG00000020553	Pctp	protein_coding	28	43	16	10	21	21	22	25	4	3	56	51	17	21
ENSMUSG00000020561	Twistnb	protein_coding	885	861	546	563	429	446	553	415	552	486	896	717	415	452.77
ENSMUSG00000020562	Efcab10	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020564	Atxn7l1	protein_coding	1124	1069	795	968	689	912	697	681	491	488	729	686	669	749
ENSMUSG00000020566	Atp6v1c2	protein_coding	8	4	2	1	1	5	24	13	187	139	26	20	5	6
ENSMUSG00000020570	Sypl	protein_coding	3564.84	3773.39	3401.84	3731.11	3418.98	3461	3838.97	3727.69	6050.95	5391.31	3282	2964.99	3423.79	3676.37
ENSMUSG00000020571	Pdia6	protein_coding	9195	8923	7539	8402	6650	8375	10457	11015	6585	6305	17670	15622	8232	7066.98
ENSMUSG00000020572	Nampt	protein_coding	2179	2146	1515	1778	1808	2110	1838	2209.99	1801	1768	5226	4539	1993	2288
ENSMUSG00000020573	Pik3cg	protein_coding	5	3	1	1	0	1	1	1	1	0	3	0	0	0
ENSMUSG00000020576	Nbas	protein_coding	1664	1809	1326	1650	1513	2133	1701	1547	982	1134	2067	1994	1349	1664
ENSMUSG00000020577	Tspan13	protein_coding	16	10	7	4	28	24	9	8	123	92	59	61	12	21
ENSMUSG00000020580	Rock2	protein_coding	11154	11767	12578	13556	21656	26263	16254	14872	13802	14693	9960	7907	17446	21913
ENSMUSG00000020581	Agr2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020583	Matn3	protein_coding	13	18	3	4	2	3	0	0	1	0	2	3	6	7
ENSMUSG00000020585	Laptm4a	protein_coding	10203	10308	10677	12235	12008	12957	15333	12864	20352	18950	23899	23852	12371	12128
ENSMUSG00000020589	Fam49a	protein_coding	3	2	6	5	1	1	7	3	1	1	2	4	5	1
ENSMUSG00000020590	Snx13	protein_coding	2647	2849	2839	3038	2360	2630	2966	2714	2530	2574	1964	1715	1805	2467
ENSMUSG00000020591	Ntsr2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020592	Sdc1	protein_coding	6813.74	6293.92	7164.64	7599.31	6859.61	9280	9443.3	7519.6	15808.56	16478.29	9444.24	9493.24	7555.67	7685.16
ENSMUSG00000020593	Lpin1	protein_coding	219	228	346	482	937	824	737	738	523	615	417	416	717	776
ENSMUSG00000020594	Pum2	protein_coding	6643	6888	5495	5907	4839	5980	6018.97	5526	4553.57	4617	5291	4334	4874	5914
ENSMUSG00000020598	Nrcam	protein_coding	31	26	19	19	29	34	26	32	33	41	65	64	8	16
ENSMUSG00000020599	Rgs9	protein_coding	0	0	0	0	0	0	1.02	1	0	0	0	0	0	3
ENSMUSG00000020600	Slc7a15	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020601	Trib2	protein_coding	126	118	138	141	329	397	362	295	230	219	289	241	255	278
ENSMUSG00000020604	Arsg	protein_coding	9	13	38	25	21	36	35	28	11	8	27	26	30	39
ENSMUSG00000020605	Hs1bp3	protein_coding	654	567	643	713	757	1036	951	819	713	767	1750	1855	717	795
ENSMUSG00000020607	Fam84a	protein_coding	22	37.99	11	12	7	17	20	16	2	0	12	15	24	32
ENSMUSG00000020608	Smc6	protein_coding	3778	3809	2693	2895	2286	2566	2361	2069	1559	1541	1989	1594	2839	3112
ENSMUSG00000020609	Apob	protein_coding	18	19	20	21	0	0	1	5	0	0	0	0	0	0
ENSMUSG00000020610	Amz2	protein_coding	1069.69	1101.65	1131.41	1251.77	1322.36	1627	1250.07	1164	1103	1074	1130.83	1161.58	1441.41	1394.61
ENSMUSG00000020611	Gna13	protein_coding	3154	3254	2861	3074	3335	3971	3344.14	3178	2423	2692	3572	3355	3437	4174
ENSMUSG00000020612	Prkar1a	protein_coding	13777	13666	12842	13407	10831	13249	14096	11392	13497	12841	11824	11324	12443	12169
ENSMUSG00000020614	Fam20a	protein_coding	465	501	877	977	236	343	1213	1067	152	174	319	269	258	250
ENSMUSG00000020617	1700012B07Rik	protein_coding	0	0	1	1	0	1	1	0	0	0	1	0	0	0
ENSMUSG00000020620	Abca8b	protein_coding	266	322.92	351.84	436.66	292.98	348	1065.66	709.55	233.45	268.65	800.31	622.07	316.71	409.28
ENSMUSG00000020621	Rdh14	protein_coding	272	330	451	442	486	466	748	631	635	581	411	433	472	435
ENSMUSG00000020622	Nt5c1b	protein_coding	0	1	0	1	0	0	6	1	0	1	0	0	0	1
ENSMUSG00000020623	Map2k6	protein_coding	132	123	101	150	58	71	41	45	17	23	58	49	59	80
ENSMUSG00000020624	4933434M16Rik	lincRNA	0	0	0	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000020627	Klhl29	protein_coding	0	0	2	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020628	Trappc12	protein_coding	1200	1221	1171	1243	1320	1807	1452	1214	1232	1412	1291	1261	1182	1318
ENSMUSG00000020629	Adi1	protein_coding	534	631	353	465	441	327	441	424	343	295	418	389	418	419
ENSMUSG00000020630	Rnaseh1	protein_coding	259	287	156	181	160	178	262	169	317	283	284	358	186	153
ENSMUSG00000020633	Dcdc2c	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020634	Ubxn2a	protein_coding	853.46	919.12	533.42	587.66	450.58	452	532.57	444.29	622.86	587.05	493.45	370.48	424.33	464.22
ENSMUSG00000020635	Fkbp1b	protein_coding	40	40	69	70	62	53	99	89	41	30	17	12	85	70
ENSMUSG00000020636	Allc	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020638	Cmpk2	protein_coding	3	1	2	0	0	1	0	2	0	0	0	0	1	0
ENSMUSG00000020639	Pfn4	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020640	Itsn2	protein_coding	2189	2155	1365	1613	1267	1729	1475	1379	956	1110	1235	1098	1052	1369
ENSMUSG00000020641	Rsad2	protein_coding	8	6	6	9	11	12	30	15	7	5	6	7	9	7
ENSMUSG00000020642	Rnf144a	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020644	Id2	protein_coding	1423	1803.98	349	555	195.99	177	114	150	98	102	397	379	2538	2391.99
ENSMUSG00000020646	Mboat2	protein_coding	6	6	6	3	2	3	3	0	19	8	2	2	2	0
ENSMUSG00000020647	Ncoa1	protein_coding	709	795	777	818	1114	1318	997	860	804	940	1393	1272	721	917
ENSMUSG00000020648	Dus4l	protein_coding	363	340	192	217	141	152	158	140	176	178	421	423	159	168
ENSMUSG00000020649	Rrm2	protein_coding	14024.99	14926.99	4686.99	5992	4605.99	5132	3347.97	3596	5895	6269	10973	11221.99	12995	13582.97
ENSMUSG00000020650	Bcap29	protein_coding	1009	1003	719	857	927	966	919	783	1525	1387	987	863	1156	1173
ENSMUSG00000020651	Slc26a4	protein_coding	3	0	1	7	9	9	4	6	1	2	1	3	7	7
ENSMUSG00000020652	Cenpo	protein_coding	481	478	280	334	207	244	270	204	130	143	284	322	223	247
ENSMUSG00000020653	Klf11	protein_coding	722	831	1103	1105	1362	1734	1654	1418	1247	1287	612	622	1276	1444
ENSMUSG00000020654	Adcy3	protein_coding	11	5	12	4	4	8	9	3	0	1	9	5	5	7
ENSMUSG00000020656	Grhl1	protein_coding	11	8	1	6	6	4	1	4	11	14	27	24	9	7
ENSMUSG00000020657	Dnajc27	protein_coding	250	200	229	224	157	224	229	184	263	258	223	245	171	219
ENSMUSG00000020658	Efr3b	protein_coding	13	7	4	6	4	1	1	1	0	0	3	2	3	5
ENSMUSG00000020659	Cbll1	protein_coding	666	622	459	476	572	599	557	472	545	577	507	433	485	593
ENSMUSG00000020660	Pomc	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020661	Dnmt3a	protein_coding	909	885	875	912	1316	1687	884	718	883	1104	468	394	1007	1182
ENSMUSG00000020664	Dld	protein_coding	3875	3823	2848	3001	3470	3722	3604	2868	4991	4584	4131	3752	4054	3944
ENSMUSG00000020668	Kif3c	protein_coding	2393	2252	1873	2119	2275	3263	1933	1882	1774	1909	950	992	2460	2675
ENSMUSG00000020669	Sh3yl1	protein_coding	74	61	52	47	46	49	53	53	31	37	40	49	46	46
ENSMUSG00000020671	Rab10	protein_coding	9236	9607	8379	8661	15761	18723	11554	10917	16281	16389	11288	10533	19560	21442
ENSMUSG00000020672	Sntg2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020673	Tpo	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020674	Pxdn	protein_coding	5038	5482	4012	4321	3952	5633	4142	3867	1572	1966	1500	1373	2849.99	3745
ENSMUSG00000020676	Ccl11	protein_coding	1	1	4	1	66	65	20	12	61	42	25	22	116	109
ENSMUSG00000020677	Ddx52	protein_coding	1367	1359	1004	1130	1167	1311	1113	1044	746	782	1426	1297	1258	1293
ENSMUSG00000020679	Hnf1b	protein_coding	0	0	3	1	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020680	Taf15	protein_coding	3118	3685	1653	2159	1813	1745	3029	2389	1384	1291	4585	4063	3085	2817
ENSMUSG00000020681	Ace	protein_coding	38	40	114	96	11	19	66	127	6	10	17	12	15	10
ENSMUSG00000020682	Mmp28	protein_coding	319	315	526	638	432	526	1152	871	322	365	559	514	571	628
ENSMUSG00000020684	Rasl10b	protein_coding	8	3	4	0	3	5	1	0	4	4	0	4	3	1
ENSMUSG00000020686	Gas2l2	protein_coding	0	0	0	0	0	0	0	1	0	0	0	1	0	1
ENSMUSG00000020687	Cdc27	protein_coding	3674	3951	2826	3046	2750	2995	2547	2377	2176	2302	2743	2374	2682	3475
ENSMUSG00000020689	Itgb3	protein_coding	4190	4377	3487	4052	3972	5489	2251	1878	942	1315	2261	2318	2290	2799
ENSMUSG00000020690	Efcab3	protein_coding	4.79	3.7	3.6	6.67	0.83	0.98	2.81	3.96	0	0	4.68	0.89	0	0
ENSMUSG00000020691	Mettl2	protein_coding	733	691	465	458	348	494	491	404	648	659	901	928	429	447
ENSMUSG00000020692	Nle1	protein_coding	548	491	195	253	175	196	331	287	391	434	524	544	259	223
ENSMUSG00000020694	Tlk2	protein_coding	2001.78	2035.46	1583.11	1689.51	1716.65	2009	2067.3	1821.92	1676.73	1743.08	1558.16	1354.53	1635.73	1905.52
ENSMUSG00000020695	Mrc2	protein_coding	1639	1609	3735	3840	1917	2742	3869	3225	876	1023	1405	1250	1675	1918
ENSMUSG00000020696	Rffl	protein_coding	271	243	240	266	189	277	316	264	167	162	79	63	266	333
ENSMUSG00000020697	Lig3	protein_coding	2653	2690	1790	1925	1521	2160	1776	1677	1168	1359	1421	1287	1325	1723
ENSMUSG00000020698	Cct6b	protein_coding	4	7	5	6	2	5	8	10	7	3	4	1	12	15
ENSMUSG00000020700	Map3k3	protein_coding	1583	1477	1121	1252	976	1487	1325	1224	1298	1407	1784	1654	1034	1210
ENSMUSG00000020701	Tmem132e	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000020702	Ccl1	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020703	5530401A14Rik	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020704	Asic2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020705	Ddx42	protein_coding	3151	3013	2243	2324	1960	2422	2591	2083	2304	2311	2779	2510	2344	2589
ENSMUSG00000020706	Ftsj3	protein_coding	4644	4142	1530	1727	933	1258	1959	1377	2081	2123	3414	3353	1524	1395
ENSMUSG00000020707	Rnf135	protein_coding	174	154	146	145	126	148	165	102	104	96	121	141	153	133
ENSMUSG00000020708	Psmc5	protein_coding	3983	3692	1928	2167	1330	1772	2115	1376	2505	2488	2842	2952	1818	1479
ENSMUSG00000020709	Adap2	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	1	1
ENSMUSG00000020712	Tcam1	protein_coding	10	9	2	3	6	9	5	4	5	3	50	41	15	19
ENSMUSG00000020713	Gh	protein_coding	0	2	0	0	0	0	0	0	0	0	0	1	1	1
ENSMUSG00000020715	Ern1	protein_coding	1914	1867	1339	1435	1336	1921	1775	1432	1415	1646	2926	2838	1451	1886
ENSMUSG00000020716	Nf1	protein_coding	3562	3841	3429	3892	4030	4868	3885	3327	2405	3146	3266	2923	2884	4360
ENSMUSG00000020717	Pecam1	protein_coding	5	22	13	41	28	0	5	16	14	7	12	10	10	49
ENSMUSG00000020718	Polg2	protein_coding	103	111	80	106	152	181	176	157	246	209	87	83	273	216
ENSMUSG00000020719	Ddx5	protein_coding	25913.22	25868.69	22143.39	23071.59	19736.63	24002.38	19738.75	16909.24	13480.52	12988.46	27156.74	23001.7	25129.66	27875.82
ENSMUSG00000020720	Psmd12	protein_coding	4132	4014	2340	2529	1759	1978	2121	1762	2555	2521	2333	2296	2183	2033
ENSMUSG00000020721	Helz	protein_coding	2001	2249	1709	1877	2191	2792	2033	1529	1016	1360	1270	1179	1695	2272
ENSMUSG00000020722	Cacng1	protein_coding	2190	1905	2009	2355	969	1217	3888	2971	5235	4994	1954	2210	1137	1056
ENSMUSG00000020723	Cacng4	protein_coding	0	3	1	1	0	2	0	1	0	1	1	0	1	3
ENSMUSG00000020728	Cep112	protein_coding	96	130	132	125	100	90	82	76	26	31	27	17	108	150
ENSMUSG00000020732	Rab37	protein_coding	0	0	0	1	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000020733	Slc9a3r1	protein_coding	960	909	784	847	702	885	660	473	409	428	551	603	662	653
ENSMUSG00000020734	Grin2c	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020736	Nt5c	protein_coding	963	828	580	666	518	628	823	579	465	459	860	906	657	500
ENSMUSG00000020737	Hn1	protein_coding	6152	5633	3730	4028	2994	3790	3731	2551	4278	3999	3608	4012.66	4169	3628
ENSMUSG00000020738	Sumo2	protein_coding	6706.79	6108.91	4784.95	4909.8	3651.73	4199.25	3807.9	3488.55	4102.82	3693.18	4077.01	3989.75	4355.83	4079.56
ENSMUSG00000020739	Nup85	protein_coding	3526	3346	1461	1712	598	836	741	515	726	716	1420	1443	1020	933
ENSMUSG00000020740	Gga3	protein_coding	1037	985	722	793.71	761.52	1125.74	837.77	735	805	908	697	686	870.38	893
ENSMUSG00000020741	Cluh	protein_coding	4905	4698	2345	2649	2077	2974	2395	2043	4004	4138	4720	4735	2201	2502
ENSMUSG00000020743	Mif4gd	protein_coding	249	225	206	225	197	235	222	214	159	155	132	126	206	167
ENSMUSG00000020744	Slc25a19	protein_coding	322	306	224	230	252	342	287	245	434	415	271	313	261	223
ENSMUSG00000020745	Pafah1b1	protein_coding	8514.52	8841.69	8009.54	8483.39	7815.31	8640	8889.92	7636.57	8718.58	8581.96	8008.77	7097.83	7420.69	8531.49
ENSMUSG00000020747	Tmem94	protein_coding	1833	1688	1444	1603	1632	2606	1330	1145	1150	1399	1065	1080	1619	1790
ENSMUSG00000020752	Recql5	protein_coding	597	626	490	509	462	699	534	420	632	653	715	711	516	584
ENSMUSG00000020755	Sap30bp	protein_coding	1602	1517	1021	1131	831	1099	1089	841	1242	1239	1422	1347	879	891
ENSMUSG00000020758	Itgb4	protein_coding	113	98	133	152	16	23	87	78	4	6	7	10	9	27
ENSMUSG00000020766	Galk1	protein_coding	2291	1938	1401	1514	774	1118	1476	1164	1146	1092	1640	1849	1182	916
ENSMUSG00000020770	Unk	protein_coding	998	1003	764	822	699	988	747	697	477	463	622	655	811	799
ENSMUSG00000020773	Trim47	protein_coding	1566.04	1409.58	1045	1153	795	1231	1742	1558	1351	1356.7	576	623.88	1024	888.34
ENSMUSG00000020774	Aspa	protein_coding	55	58	89	91	70	93	63	38	37	31	16	28	58	59
ENSMUSG00000020775	Mrpl38	protein_coding	1683	1530	975	1050	981	1404	1202	1024	1393	1399	1121	1329	1196	1089
ENSMUSG00000020776	Fbf1	protein_coding	2547	2381	1926	2106	2410	3462	1813	1557	1442	1582	1235	1293	2368	2583
ENSMUSG00000020777	Acox1	protein_coding	2238	2174	1998	2337	2002	2558	2413	1972	3125	3255	4176	3983	2030	2471
ENSMUSG00000020778	Ten1	protein_coding	410	347	312	383	216	270	330	266	275	269	307	355	252	243
ENSMUSG00000020780	Srp68	protein_coding	4159	3831	3103	3328	3691	5212	4576	4166	4784	5000	4248	4290	4330	4186
ENSMUSG00000020781	Tsen54	protein_coding	349	318	200	221	193	277	272	212	317	283	299	345	286	240
ENSMUSG00000020782	Llgl2	protein_coding	43	32	10	10	21	34	7	4	10	14	25	37	30	20
ENSMUSG00000020783	Ncbp3	protein_coding	1747	1631	1215	1325	1454	1772	1322	1019	1172	1252	1356	1303	1174	1312
ENSMUSG00000020785	Camkk1	protein_coding	750	755	609	587	409	573	503	420	207	280	224	234	378	445
ENSMUSG00000020787	P2rx1	protein_coding	1	2	2	4	2	2	1	0	34	33	0	1	0	0
ENSMUSG00000020788	Atp2a3	protein_coding	22	18	8	12	2	3	27	18	145	168	175	199.24	6	6
ENSMUSG00000020790	Ankfy1	protein_coding	4614	4513	3694	4227	4003	5306	3446	3094	2750	3101	3942	3619	2983	3914
ENSMUSG00000020792	Exoc7	protein_coding	1788	1748	1557	1875	1660	2147	1600	1238	1535	1575	1335	1484	1340	1536
ENSMUSG00000020793	Galr2	protein_coding	19	6	7	10	1	2	8	10	0	1	14	18	1	0
ENSMUSG00000020794	Ube2g1	protein_coding	1539	1595	1508	1630	1589	1707	1897	1627	2240	2183	1843	1513	1373	1604
ENSMUSG00000020798	Spns3	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020799	Tekt1	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020801	Med31	protein_coding	258	225	188	257	263	346	332	273	550	483	353	389	278	260
ENSMUSG00000020802	Ube2o	protein_coding	3029	2883	1811	1901	2122	2978	2039	1704	2220	2400	2703	2712	2052	2249
ENSMUSG00000020803	Txndc17	protein_coding	2171.47	2071.16	1867	1841.79	1600.58	1885	2346.31	1855.86	2236.51	2177.79	2003.52	2082.87	2083.49	1795.67
ENSMUSG00000020804	Aanat	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020805	Slc13a5	protein_coding	5	14	24	26	4	3	13	9	4	4	0	0	6	2
ENSMUSG00000020806	Rhbdf2	protein_coding	481	502	450	456	436	606	732	718	255	302	224	222	372	421
ENSMUSG00000020807	4933427D14Rik	protein_coding	694	683	455	503	329	481	439	409	177	190	251	217	348	427
ENSMUSG00000020808	Fam64a	protein_coding	2660	2353	1545	1756	591	792	541	404	181	203	612	650	1027	865
ENSMUSG00000020810	Cygb	protein_coding	1	1	4	2	1	0	0	1	0	1	1	2	0	0
ENSMUSG00000020811	Wscd1	protein_coding	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000020812	1810032O08Rik	protein_coding	313	326	190	229	268	373	448	442.12	364	344.83	375	425	629	495
ENSMUSG00000020814	Mxra7	protein_coding	3096	2889	3175	3427	2184	2836	3590	2564	1656	1653	1856	2182	2548	2441
ENSMUSG00000020817	Rabep1	protein_coding	2762	2755	2172	2297	3337	3759	2457	2212	3453	3374.99	5122	4304	2883	3150
ENSMUSG00000020818	Mfsd11	protein_coding	928.46	1030.55	1029	1158	1273.55	1521	1415.35	1104.91	1401	1352	1980.95	1998	1213.97	1256.45
ENSMUSG00000020821	Kif1c	protein_coding	7127	6594	5547	5751	3595.99	5146	5618	4781	5074	5441	5096	5422.97	4298	4296
ENSMUSG00000020823	Sec14l1	protein_coding	5961	5567	4709	5059	5596	7653	4905	4235	5314	5663	4922	4855	7210	7749
ENSMUSG00000020826	Nos2	protein_coding	26	19	0	5	2	2	7	8	70	106	768	968	4	1
ENSMUSG00000020827	Mink1	protein_coding	3427	3042	2774	2989	2056	3051	2434	2258	1687	1905	2369	2403	2133	2450
ENSMUSG00000020828	Pld2	protein_coding	928	913	942	1059	749	981	901	899	408	449	523	517	704	708
ENSMUSG00000020829	Slc46a1	protein_coding	220	197	137	172	71	106	171	133	66	84	113	131	94	70
ENSMUSG00000020830	Vmo1	protein_coding	0	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000020831	0610010K14Rik	protein_coding	954.28	951.13	763.15	867.62	702.09	958.8	844.24	648.02	721.68	676.82	864.42	890.75	1389.18	1042.91
ENSMUSG00000020832	Eral1	protein_coding	524	506	441	526	430	558	464	381	428	436	414	413	517	461
ENSMUSG00000020834	Dhrs13	protein_coding	267	242	105	145	49	80	96	70	111	98	136	171	92	81
ENSMUSG00000020836	Coro6	protein_coding	608	618	316	412	678.99	860	782	636	1795	1961	1068	1075	899	923
ENSMUSG00000020838	Slc6a4	protein_coding	1	0	0	0	0	1	0	0	1	0	0	0	1	0
ENSMUSG00000020839	Tmigd1	protein_coding	0	0	0	2	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000020840	Blmh	protein_coding	1627	1573	1180	1356	1242	1479	1482.56	1216	1140	1167	971	924	1519.39	1388
ENSMUSG00000020841	Cpd	protein_coding	6934	7053	6215	6644	5510	7168	6205	5635	4229	4831	3005	2604	4268	5760
ENSMUSG00000020843	Timm22	protein_coding	1074	886	613	711	516	677	645	517	1012	940	950	963	658	674
ENSMUSG00000020844	Nxn	protein_coding	3056	2669	2566	2581	3883	5479	3561	2749	3513	3915	2681	3001	4751	4550
ENSMUSG00000020846	Rflnb	protein_coding	560	589	463	492	282	277	573	574	334	323	656	609	325	329
ENSMUSG00000020847	Rph3al	protein_coding	6	2	0	3	8	3	2	1	3	0	0	0	1	7
ENSMUSG00000020848	Doc2b	protein_coding	0	0	1	2	2	12	5	6	8	9	55	55	4	5
ENSMUSG00000020849	Ywhae	protein_coding	22966	22701	18679	19730	17013	17927	18225	14274	18785	18109	18571	18251	20336	18705
ENSMUSG00000020850	Prpf8	protein_coding	17991	18094	10742	12509	10638	14979	9643	8502	7706	9501	12338	11954	9214	12243
ENSMUSG00000020857	Nme2	protein_coding	5643.17	4547.34	3173.82	3592.64	2683.34	3312.82	5733.64	4182.33	7139.48	6621.07	14052.43	14869.42	4051.21	3488.14
ENSMUSG00000020859	Spag9	protein_coding	7437	7914	7892	8681	8599	10725	10545	10729	7588	8342	8242	6961	9304	11812
ENSMUSG00000020863	Luc7l3	protein_coding	2814	2774.98	1739	2087.99	2126.99	2101	2471	1935	1652.4	1457	1081.99	914	2542	2594
ENSMUSG00000020864	Ankrd40	protein_coding	4213	3939	3476	3604	3788	5029	4120	3577	4919	4769	2736	2739	4093	4058
ENSMUSG00000020865	Abcc3	protein_coding	0	0	1	0	0	3	0	0	0	0	0	0	0	0
ENSMUSG00000020866	Cacna1g	protein_coding	2	3	0	3	13	6	3	2	3	3	0	2	13	6
ENSMUSG00000020867	Spata20	protein_coding	0	0	1	0	1	0	1	1	0	1	0	0	1	2
ENSMUSG00000020868	Xylt2	protein_coding	686	623	521	597	444	706	730	521	527	619	614	644	457	478
ENSMUSG00000020869	Lrrc59	protein_coding	12342	13048	5191	7008	4706	5127	5795	5648	4629	5083	8612	8531	5938	6291
ENSMUSG00000020870	Cdc34b	protein_coding	11.79	20.96	6.59	3.37	4.57	0	6.85	2.33	24.71	13.16	9.12	17.43	9.24	9.2
ENSMUSG00000020871	Dlx4	protein_coding	14	12	14	15	13	33	17	16	20	18	15	15	27	13
ENSMUSG00000020872	Tac4	protein_coding	1	0	0	0	0	0	1	0	0	1	0	0	0	0
ENSMUSG00000020873	Slc35b1	protein_coding	1612	1517	942	1026	703	761	1256	973	1306	1225	3121	3002	857	794
ENSMUSG00000020875	Hoxb9	protein_coding	3	2	0	0	0	2	1	1	2	0	8	16	2	0
ENSMUSG00000020876	Snx11	protein_coding	618	569	364	413	286	416	519	325	638	694	475	580	404	395
ENSMUSG00000020877	Scrn2	protein_coding	369	326	215	222	87	117	199	132	103	130	50	49	135	119
ENSMUSG00000020878	Lrrc46	protein_coding	23	22	17	14	22	35	24	19	7	15	13	8	19	20
ENSMUSG00000020882	Cacnb1	protein_coding	290	269	409	500	475	675	1015	790	2881	3121	631	736	463	432
ENSMUSG00000020883	Fbxl20	protein_coding	834	951	1511.31	1705	2638	3151	2958	2648	2174	2289	1852	1701	2212	2720
ENSMUSG00000020884	Asgr1	protein_coding	33	41	28	29	43	46	4	5	25	17	50	49	92	81
ENSMUSG00000020886	Dlg4	protein_coding	1151	1131	1340	1514	1797	2337	1940	1754	1425	1675	666	705	1907	2026
ENSMUSG00000020887	A230052G05Rik	TEC	0	2	0	0	0	1	1	0	3	0	0	0	0	2
ENSMUSG00000020888	Dvl2	protein_coding	1060	1046	974	1061	649	922	923	767	740	744	990	1089	781	821
ENSMUSG00000020889	Nr1d1	protein_coding	2157	1993	1488	1772	2671	3787	3509	3238	2184	2501	472	463	2854	3374
ENSMUSG00000020890	Gucy2e	protein_coding	0	1	0	1	0	1	2	0	0	0	0	0	1	0
ENSMUSG00000020891	Alox8	protein_coding	5	1	1	2	0	1	0	0	3	5	1	0	3	7
ENSMUSG00000020892	Aloxe3	protein_coding	5	4	4	0	2	3	3	1	0	0	2	1	2	1
ENSMUSG00000020893	Per1	protein_coding	817	736	814	930	4053	5596	4620	4499	3998	4649	2749	2634	4682	5458
ENSMUSG00000020894	Vamp2	protein_coding	1101	1030	1088	1243	1325	1718	2079	2013	2205	2206	1489	1439	1704	1709
ENSMUSG00000020895	Tmem107	protein_coding	266	280	261	312	267	309	345	272	219	168	192	202	479	354
ENSMUSG00000020897	Aurkb	protein_coding	2713	2539	1550	1739	1002	1343	470	438	245	304	702	598	1506	1427
ENSMUSG00000020898	Ctc1	protein_coding	2387	2464	2047	2390	1865	2478	1364	1282	1117	1230	1243	1272	2073	2285
ENSMUSG00000020899	Pfas	protein_coding	2657	2484	1226	1302	1129	1481	915	616	737	835	1929	1744	1165	1266
ENSMUSG00000020900	Myh10	protein_coding	9521.29	9292.27	6877.23	7549.89	5289.41	7335.85	4480.76	3588.6	2226.95	2932.46	2447.11	2298.53	4703.74	5779.68
ENSMUSG00000020901	Pik3r5	protein_coding	95	99	85	93	34	50	72	87	12	27	63	81	28	21
ENSMUSG00000020902	Ntn1	protein_coding	1953	1806	2239	2510	846	1113	1352	1184	1014	1299	826	854	403	495
ENSMUSG00000020903	Stx8	protein_coding	475	477	443	491	451	488	647	454	649	595	855	799	487	470
ENSMUSG00000020904	Cfap52	protein_coding	0	0	3	2	1	1	7	2	22	19	2	3	0	0
